Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.30_and_0.90_loop_0.30,0.3,0.9,0.3,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.30_and_0.90_loop_0.65,0.3,0.9,0.65,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.30_and_0.90_loop_0.90,0.3,0.9,0.9,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.30_and_0.90_loop_0.95,0.3,0.9,0.95,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.30_and_0.90_loop_0.99,0.3,0.9,0.99,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.65_and_0.90_loop_0.30,0.65,0.9,0.3,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.65_and_0.90_loop_0.65,0.65,0.9,0.65,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.65_and_0.90_loop_0.90,0.65,0.9,0.9,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.65_and_0.90_loop_0.95,0.65,0.9,0.95,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.65_and_0.90_loop_0.99,0.65,0.9,0.99,11.43,0.9255980628015243,0.9782059460989552,0.9880104207428214,67,85,0.6865671641791045
heu_top100_dep_0.90_and_0.40_loop_0.30,0.9,0.4,0.3,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.90_and_0.40_loop_0.65,0.9,0.4,0.65,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.90_and_0.40_loop_0.90,0.9,0.4,0.9,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.90_and_0.40_loop_0.95,0.9,0.4,0.95,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.90_and_0.40_loop_0.99,0.9,0.4,0.99,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.95_and_0.40_loop_0.30,0.95,0.4,0.3,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.95_and_0.40_loop_0.65,0.95,0.4,0.65,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.95_and_0.40_loop_0.90,0.95,0.4,0.9,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.95_and_0.40_loop_0.95,0.95,0.4,0.95,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.95_and_0.40_loop_0.99,0.95,0.4,0.99,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.99_and_0.40_loop_0.30,0.99,0.4,0.3,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.99_and_0.40_loop_0.65,0.99,0.4,0.65,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.99_and_0.40_loop_0.90,0.99,0.4,0.9,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.99_and_0.40_loop_0.95,0.99,0.4,0.95,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.99_and_0.40_loop_0.99,0.99,0.4,0.99,0.0,0.8747237685470268,0.9905817477000355,0.9872614481658728,69,89,0.6811594202898551
heu_top100_dep_0.30_and_0.40_loop_0.30,0.3,0.4,0.3,0.0,0.8747082693613557,0.9914230035125988,0.9883240347010848,69,88,0.6811594202898551
