Model Name,Dep Thresh,AND Thresh,Loop Thresh,Filtered Perfect Fit (%),Filtered Avg Fitness,Filtered Precision,Filtered Generalization,Complete Perfect Fit (%),Complete Avg Fitness,Complete Precision,Complete Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.90_and_0.65_loop_0.90,0.9,0.65,0.9,0.0,0.8450020994445886,0.9993846855059253,0.9620265660463653,0.0,0.8380999319799354,0.9993756444578986,0.9631472639725565,64,85,0.59375
heu_top100_dep_0.99_and_0.65_loop_0.65,0.99,0.65,0.65,0.0,0.8447909283621484,0.9997399680869925,0.9616512444259446,0.0,0.8378145181761268,0.9996560872555763,0.9627551095452961,63,83,0.5873015873015873
heu_top100_dep_0.99_and_0.65_loop_0.90,0.99,0.65,0.9,0.0,0.8447909283621484,0.9997399680869925,0.9616512444259446,0.0,0.8378145181761268,0.9996560872555763,0.9627551095452961,63,83,0.5873015873015873
heu_top100_dep_0.65_and_0.65_loop_0.65,0.65,0.65,0.65,0.0,0.8432560710973261,0.9997378268226994,0.9341183372943092,0.0,0.836373815440514,0.9996831055654585,0.9352248196920484,63,83,0.5873015873015873
heu_top100_dep_0.65_and_0.65_loop_0.99,0.65,0.65,0.99,0.0,0.8432560710973261,0.9997378268226994,0.9341183372943092,0.0,0.836373815440514,0.9996831055654585,0.9352248196920484,63,83,0.5873015873015873
heu_top100_dep_0.65_and_0.65_loop_0.30,0.65,0.65,0.3,0.0,0.8424292231275919,0.9997378268226994,0.9614168342667126,0.0,0.8356497949379964,0.9996831055654585,0.9625476280074026,63,83,0.5873015873015873
heu_top100_dep_0.65_and_0.65_loop_0.90,0.65,0.65,0.9,0.0,0.8424292231275919,0.9997378268226994,0.9614168342667126,0.0,0.8356497949379964,0.9996831055654585,0.9625476280074026,63,83,0.5873015873015873
heu_top100_dep_0.30_and_0.65_loop_0.30,0.3,0.65,0.3,0.0,0.83903817930041,0.9997378268226994,0.9326968114573891,0.0,0.8324981199577238,0.9996930054763862,0.9338131147187425,62,81,0.5806451612903226
heu_top100_dep_0.30_and_0.65_loop_0.65,0.3,0.65,0.65,0.0,0.83903817930041,0.9997378268226994,0.9326968114573891,0.0,0.8324981199577238,0.9996930054763862,0.9338131147187425,62,81,0.5806451612903226
heu_top100_dep_0.30_and_0.65_loop_0.90,0.3,0.65,0.9,0.0,0.83903817930041,0.9997378268226994,0.9326968114573891,0.0,0.8324981199577238,0.9996930054763862,0.9338131147187425,62,81,0.5806451612903226
heu_top100_dep_0.30_and_0.65_loop_0.99,0.3,0.65,0.99,0.0,0.8382091982096475,0.9997378268226994,0.9607752654861471,0.0,0.8317724654045897,0.9996930054763862,0.9619165747002497,62,81,0.5806451612903226
